id,name,alias,code,level_id/id,sequence,subject_type,subject_classification,evaluable,subject_category,unit_number,bskill_number,hours,credits,description,prerequisite_ids/id,active
benglish_academy.subject_benglish_bskill_u1_5,Basic-CULTURE-U1,Skill,BE-S-127,benglish_academy.level_benglish_basic_unit1,24,core,regular,False,bskills,1,5,1,0,B-skill 5 de la Unidad 1,benglish_academy.subject_benglish_bcheck_unit1,True
benglish_academy.subject_benglish_bskill_u1_6,Basic-READ-AND-WRITE-U1,Skill,BE-S-128,benglish_academy.level_benglish_basic_unit1,25,core,regular,False,bskills,1,6,1,0,B-skill 6 de la Unidad 1,benglish_academy.subject_benglish_bcheck_unit1,True
benglish_academy.subject_benglish_bskill_u1_7,Basic-CONVERSATION-U1,Skill,BE-S-129,benglish_academy.level_benglish_basic_unit1,26,core,regular,False,bskills,1,7,1,0,B-skill 7 de la Unidad 1,benglish_academy.subject_benglish_bcheck_unit1,True
benglish_academy.subject_benglish_bskill_u2_5,Basic-CULTURE-U2,Skill,BE-S-130,benglish_academy.level_benglish_basic_unit2,24,core,regular,False,bskills,2,5,1,0,B-skill 5 de la Unidad 2,benglish_academy.subject_benglish_bcheck_unit2,True
benglish_academy.subject_benglish_bskill_u2_6,Basic-READ-AND-WRITE-U2,Skill,BE-S-131,benglish_academy.level_benglish_basic_unit2,25,core,regular,False,bskills,2,6,1,0,B-skill 6 de la Unidad 2,benglish_academy.subject_benglish_bcheck_unit2,True
benglish_academy.subject_benglish_bskill_u2_7,Basic-CONVERSATION-U2,Skill,BE-S-132,benglish_academy.level_benglish_basic_unit2,26,core,regular,False,bskills,2,7,1,0,B-skill 7 de la Unidad 2,benglish_academy.subject_benglish_bcheck_unit2,True
benglish_academy.subject_benglish_bskill_u3_5,Basic-CULTURE-U3,Skill,BE-S-133,benglish_academy.level_benglish_basic_unit3,24,core,regular,False,bskills,3,5,1,0,B-skill 5 de la Unidad 3,benglish_academy.subject_benglish_bcheck_unit3,True
benglish_academy.subject_benglish_bskill_u3_6,Basic-READ-AND-WRITE-U3,Skill,BE-S-134,benglish_academy.level_benglish_basic_unit3,25,core,regular,False,bskills,3,6,1,0,B-skill 6 de la Unidad 3,benglish_academy.subject_benglish_bcheck_unit3,True
benglish_academy.subject_benglish_bskill_u3_7,Basic-CONVERSATION-U3,Skill,BE-S-135,benglish_academy.level_benglish_basic_unit3,26,core,regular,False,bskills,3,7,1,0,B-skill 7 de la Unidad 3,benglish_academy.subject_benglish_bcheck_unit3,True
benglish_academy.subject_benglish_bskill_u4_5,Basic-CULTURE-U4,Skill,BE-S-136,benglish_academy.level_benglish_basic_unit4,24,core,regular,False,bskills,4,5,1,0,B-skill 5 de la Unidad 4,benglish_academy.subject_benglish_bcheck_unit4,True
benglish_academy.subject_benglish_bskill_u4_6,Basic-READ-AND-WRITE-U4,Skill,BE-S-137,benglish_academy.level_benglish_basic_unit4,25,core,regular,False,bskills,4,6,1,0,B-skill 6 de la Unidad 4,benglish_academy.subject_benglish_bcheck_unit4,True
benglish_academy.subject_benglish_bskill_u4_7,Basic-CONVERSATION-U4,Skill,BE-S-138,benglish_academy.level_benglish_basic_unit4,26,core,regular,False,bskills,4,7,1,0,B-skill 7 de la Unidad 4,benglish_academy.subject_benglish_bcheck_unit4,True
benglish_academy.subject_benglish_bskill_u5_5,Basic-CULTURE-U5,Skill,BE-S-139,benglish_academy.level_benglish_basic_unit5,24,core,regular,False,bskills,5,5,1,0,B-skill 5 de la Unidad 5,benglish_academy.subject_benglish_bcheck_unit5,True
benglish_academy.subject_benglish_bskill_u5_6,Basic-READ-AND-WRITE-U5,Skill,BE-S-140,benglish_academy.level_benglish_basic_unit5,25,core,regular,False,bskills,5,6,1,0,B-skill 6 de la Unidad 5,benglish_academy.subject_benglish_bcheck_unit5,True
benglish_academy.subject_benglish_bskill_u5_7,Basic-CONVERSATION-U5,Skill,BE-S-141,benglish_academy.level_benglish_basic_unit5,26,core,regular,False,bskills,5,7,1,0,B-skill 7 de la Unidad 5,benglish_academy.subject_benglish_bcheck_unit5,True
benglish_academy.subject_benglish_bskill_u6_5,Basic-CULTURE-U6,Skill,BE-S-142,benglish_academy.level_benglish_basic_unit6,24,core,regular,False,bskills,6,5,1,0,B-skill 5 de la Unidad 6,benglish_academy.subject_benglish_bcheck_unit6,True
benglish_academy.subject_benglish_bskill_u6_6,Basic-READ-AND-WRITE-U6,Skill,BE-S-143,benglish_academy.level_benglish_basic_unit6,25,core,regular,False,bskills,6,6,1,0,B-skill 6 de la Unidad 6,benglish_academy.subject_benglish_bcheck_unit6,True
benglish_academy.subject_benglish_bskill_u6_7,Basic-CONVERSATION-U6,Skill,BE-S-144,benglish_academy.level_benglish_basic_unit6,26,core,regular,False,bskills,6,7,1,0,B-skill 7 de la Unidad 6,benglish_academy.subject_benglish_bcheck_unit6,True
benglish_academy.subject_benglish_bskill_u7_5,Basic-CULTURE-U7,Skill,BE-S-145,benglish_academy.level_benglish_basic_unit7,24,core,regular,False,bskills,7,5,1,0,B-skill 5 de la Unidad 7,benglish_academy.subject_benglish_bcheck_unit7,True
benglish_academy.subject_benglish_bskill_u7_6,Basic-READ-AND-WRITE-U7,Skill,BE-S-146,benglish_academy.level_benglish_basic_unit7,25,core,regular,False,bskills,7,6,1,0,B-skill 6 de la Unidad 7,benglish_academy.subject_benglish_bcheck_unit7,True
benglish_academy.subject_benglish_bskill_u7_7,Basic-CONVERSATION-U7,Skill,BE-S-147,benglish_academy.level_benglish_basic_unit7,26,core,regular,False,bskills,7,7,1,0,B-skill 7 de la Unidad 7,benglish_academy.subject_benglish_bcheck_unit7,True
benglish_academy.subject_benglish_bskill_u8_5,Basic-CULTURE-U8,Skill,BE-S-148,benglish_academy.level_benglish_basic_unit8,24,core,regular,False,bskills,8,5,1,0,B-skill 5 de la Unidad 8,benglish_academy.subject_benglish_bcheck_unit8,True
benglish_academy.subject_benglish_bskill_u8_6,Basic-READ-AND-WRITE-U8,Skill,BE-S-149,benglish_academy.level_benglish_basic_unit8,25,core,regular,False,bskills,8,6,1,0,B-skill 6 de la Unidad 8,benglish_academy.subject_benglish_bcheck_unit8,True
