id,name,alias,code,level_id/id,sequence,subject_type,subject_classification,evaluable,subject_category,unit_number,bskill_number,hours,credits,description,prerequisite_ids/id,active
subject_beteens_bskill_u1_5,Basic-CULTURE-U1,Skill,BT-S-127,level_beteens_basic_unit1,60,core,regular,False,bskills,1,5,1,0,B-skill 5 de la Unidad 1 - BETEENS,subject_beteens_bcheck_unit1,True
subject_beteens_bskill_u1_6,Basic-READ-AND-WRITE-U1,Skill,BT-S-128,level_beteens_basic_unit1,70,core,regular,False,bskills,1,6,1,0,B-skill 6 de la Unidad 1 - BETEENS,subject_beteens_bcheck_unit1,True
subject_beteens_bskill_u1_7,Basic-CONVERSATION-U1,Skill,BT-S-129,level_beteens_basic_unit1,80,core,regular,False,bskills,1,7,1,0,B-skill 7 de la Unidad 1 - BETEENS,subject_beteens_bcheck_unit1,True
subject_beteens_bskill_u2_5,Basic-CULTURE-U2,Skill,BT-S-130,level_beteens_basic_unit2,60,core,regular,False,bskills,2,5,1,0,B-skill 5 de la Unidad 2 - BETEENS,subject_beteens_bcheck_unit2,True
subject_beteens_bskill_u2_6,Basic-READ-AND-WRITE-U2,Skill,BT-S-131,level_beteens_basic_unit2,70,core,regular,False,bskills,2,6,1,0,B-skill 6 de la Unidad 2 - BETEENS,subject_beteens_bcheck_unit2,True
subject_beteens_bskill_u2_7,Basic-CONVERSATION-U2,Skill,BT-S-132,level_beteens_basic_unit2,80,core,regular,False,bskills,2,7,1,0,B-skill 7 de la Unidad 2 - BETEENS,subject_beteens_bcheck_unit2,True
subject_beteens_bskill_u3_5,Basic-CULTURE-U3,Skill,BT-S-133,level_beteens_basic_unit3,60,core,regular,False,bskills,3,5,1,0,B-skill 5 de la Unidad 3 - BETEENS,subject_beteens_bcheck_unit3,True
subject_beteens_bskill_u3_6,Basic-READ-AND-WRITE-U3,Skill,BT-S-134,level_beteens_basic_unit3,70,core,regular,False,bskills,3,6,1,0,B-skill 6 de la Unidad 3 - BETEENS,subject_beteens_bcheck_unit3,True
subject_beteens_bskill_u3_7,Basic-CONVERSATION-U3,Skill,BT-S-135,level_beteens_basic_unit3,80,core,regular,False,bskills,3,7,1,0,B-skill 7 de la Unidad 3 - BETEENS,subject_beteens_bcheck_unit3,True
subject_beteens_bskill_u4_5,Basic-CULTURE-U4,Skill,BT-S-136,level_beteens_basic_unit4,60,core,regular,False,bskills,4,5,1,0,B-skill 5 de la Unidad 4 - BETEENS,subject_beteens_bcheck_unit4,True
subject_beteens_bskill_u4_6,Basic-READ-AND-WRITE-U4,Skill,BT-S-137,level_beteens_basic_unit4,70,core,regular,False,bskills,4,6,1,0,B-skill 6 de la Unidad 4 - BETEENS,subject_beteens_bcheck_unit4,True
subject_beteens_bskill_u4_7,Basic-CONVERSATION-U4,Skill,BT-S-138,level_beteens_basic_unit4,80,core,regular,False,bskills,4,7,1,0,B-skill 7 de la Unidad 4 - BETEENS,subject_beteens_bcheck_unit4,True
subject_beteens_bskill_u5_5,Basic-CULTURE-U5,Skill,BT-S-139,level_beteens_basic_unit5,60,core,regular,False,bskills,5,5,1,0,B-skill 5 de la Unidad 5 - BETEENS,subject_beteens_bcheck_unit5,True
